capacidad_maxima;valor;peso
15000;940438;719
;939003;737
;702638;332
;746246;540
;857748;222
;836242;614
;722048;437
;892987;551
;772826;493
;754468;533
;852419;702
;985575;518
;768248;480
;996763;664
;818601;434
;750331;204
;875527;546
;892406;728
;778198;235
;903044;491
;883825;681
;767732;302
;813013;531
;843758;575
;844082;589
;832435;542
;743935;666
;743527;471
;756200;768
;961932;707
;911819;206
;802133;344
;761339;296
;777046;773
;822005;473
;932585;438
;753088;420
;743160;438
;833394;545
;795150;795
;970227;224
;859327;412
;748006;287
;852235;268
;790336;730
;841171;231
;810267;748
;855838;781
;915404;725
;737537;682
;911014;784
;973971;405
;906043;584
;804197;572
;915468;370
;984254;449
;836783;529
;953606;595
;969473;719
;961474;709
